選挙区,候補者名,年齢,性別,所属,経歴・特徴,主要政策,スローガン,得票率,当落
3区,大山 慎太郎,41,男,日本改革の会(NRP),IT企業経営。DX・イノベ重視。,電子政府推進・イノベーション支援・働き方の多様化,改革こそ日本を変える,13.5,落選
4区,高橋 勝,49,男,自由民政党(JMP),地元土建業界と繋がりが強い。,インフラ強化・地域経済振興・防災対策,足元を固めて未来を創る,27.0,落選
4区,吉川 亜希子,40,女,進歩未来党(SFP),育児と仕事を両立。女性の声を代弁。,子育て支援・働き方の多様化・ジェンダー平等,女性の笑顔が社会を変える,29.8,当選
4区,池内 大介,56,男,日本共和党(NPP),元自衛官。国防の専門家。,防衛力強化・憲法9条改正・エネルギー安全保障,国を守るための備えを徹底,16.9,落選
4区,小泉 未来,35,女,立憲民主フォーラム(LDF),看護師出身。在宅医療拡大を訴える。,在宅医療体制強化・介護人材確保・福祉重視,医療で支える安心の暮らし,15.2,落選
4区,東条 慶,44,男,日本改革の会(NRP),ITコンサル出身。電子政府に注力。,e-Gov推進・サイバーセキュリティ強化・行政効率化,電子行政でスピード改革,11.1,落選
5区,遠藤 竜二,52,男,自由民政党(JMP),地元企業支援に注力するベテラン。,インフラ投資・地域資源活用・観光産業の育成,足腰の強い地域経済を！,24.5,落選
5区,川口 智美,37,女,進歩未来党(SFP),保育士経験。子ども食堂に関与。,子育て支援の拡充・教育格差是正・働き方改革,子どもの笑顔を最優先に,27.4,当選
5区,土井 武,59,男,日本共和党(NPP),元メーカー重役。国内雇用の保護派。,移民規制強化・国内産業保護・防衛力増強,日本の職と安全を守る,18.3,落選
5区,相沢 麗,42,女,立憲民主フォーラム(LDF),社会福祉士。在宅医療推進。,介護人材の確保・在宅医療制度拡充・ジェンダー平等,暮らしを下支えする政治,16.2,落選
5区,大村 俊一,46,男,日本改革の会(NRP),ITベンチャー経営。,イノベーション推進・労働法制整備・電子政府,変化に対応できる国へ,13.6,落選
6区,宮崎 修,54,男,自由民政党(JMP),建設会社出身。インフラ整備派。,大型公共事業・防災強化・地域雇用創出,災害に強く豊かな日本へ,28.1,当選
6区,竹内 麻里,36,女,進歩未来党(SFP),保育業界を経て政治参画。,子育て支援・介護人材確保・教育格差是正,世代を問わずケアする社会へ,24.5,落選
6区,三谷 剛,51,男,日本共和党(NPP),保守思想強め。憲法改正を優先。,防衛費増額・憲法9条改正・日米同盟維持,守り抜け日本の主権,17.6,落選
6区,末永 優,42,男,緑の市民ネット(GCP),環境関連NPO。再エネ普及を訴える。,再生可能エネルギー推進・都市緑化・地域資源活用,地球と地域を守り育てる,15.3,落選
6区,小島 ゆり,45,女,立憲民主フォーラム(LDF),母子家庭支援活動。,在宅医療支援・女性就労サポート・労働環境改善,誰も取り残さない安心政策,14.5,落選
7区,大沢 亮,47,男,自由民政党(JMP),ビジネス系シンクタンク出身。,外国人労働者受け入れ・イノベーション・インフラ投資,国際化で経済を伸ばす,21.8,落選
7区,西村 彩,39,女,進歩未来党(SFP),育児支援NPOリーダー。,子育て支援充実・介護人材確保・働き方の多様化,生活を支える制度を拡充,25.6,当選
7区,上原 剛,60,男,日本共和党(NPP),地域の保守層に支持。,防衛力強化・移民規制・日米同盟の安定,国の安全と秩序を守る,19.5,落選
7区,林 里緒,41,女,立憲民主フォーラム(LDF),法律家。ジェンダー・差別撤廃に注力。,労働法制整備・ジェンダー平等・教育支援,人権と多様性を重視する政治,17.2,落選
7区,松永 智久,46,男,日本改革の会(NRP),デジタル行政コンサル出身。,電子政府推進・サイバー防衛・イノベーション促進,日本をアップデート！,15.9,落選
8区,榊原 達也,55,男,自由民政党(JMP),運輸業界出身。交通政策が得意。,インフラ投資・地域資源活用・外国人材活用,強い物流ネットワークで発展,29.4,当選
8区,大林 里穂,39,女,進歩未来党(SFP),社会起業家。子ども貧困対策。,子育て支援・教育格差解消・介護人材育成,世代間の連帯で未来を築く,25.3,落選
8区,徳田 剛,56,男,日本共和党(NPP),保守団体幹部。国防最優先。,憲法9条改正・防衛費拡充・移民制限,揺るぎない安全保障を確立,15.6,落選
8区,横田 栄,44,男,立憲民主フォーラム(LDF),労働組合の元役員。,労働法制強化・最低賃金アップ・在宅医療充実,働く人を守る政治を,16.8,落選
8区,橋川 真央,36,女,日本改革の会(NRP),デジタル行政の専門家。,電子政府・サイバーセキュリティ・イノベーション促進,効率と革新で日本を前進,12.9,落選
9区,永田 章,51,男,自由民政党(JMP),地方財界とのパイプが強い。,インフラ投資・外国人労働者受け入れ・地域産業振興,持続可能な成長を地域から,32.5,当選
9区,白井 結衣,37,女,進歩未来党(SFP),母子支援団体の代表。,子育て支援・教育格差是正・在宅医療推進,子どもと家庭をまもる社会へ,24.1,落選
9区,藤本 剛志,59,男,日本共和党(NPP),製造業の経営経験。保守系支持。,国内雇用保護・移民規制強化・防衛力充実,日本の産業と安全を守り抜く,15.0,落選
9区,高梨 智子,42,女,立憲民主フォーラム(LDF),看護師出身。,在宅医療の充実・介護支援拡大・労働法制整備,だれでも安心して暮らせる社会,17.6,落選
9区,大迫 翔,40,男,日本改革の会(NRP),IT企業出身。起業支援策を重視。,電子政府化・イノベーション投資・働き方改革,未来へつなぐ企業・働き方,10.8,落選
10区,川瀬 修,48,男,自由民政党(JMP),地方再生を掲げる元経産省職員。,エネルギー安全保障・インフラ整備・子育て支援,日本の未来を足元から固める,25.0,落選
10区,本田 美菜,36,女,進歩未来党(SFP),NPOで再エネ普及を推進。,再生可能エネルギー導入・子育て支援・教育格差対策,人と環境に優しい国へ,27.2,当選
10区,橋本 武雄,60,男,日本共和党(NPP),保守色が強く、憲法改正を熱望。,憲法9条改正・防衛予算拡大・移民制限,誇りある国を次世代へ,18.1,落選
10区,吉岡 美智,44,女,立憲民主フォーラム(LDF),社会福祉士。福祉・介護改革派。,在宅医療拡充・介護人材サポート・働き方改革,人に寄り添う優しい政治を,16.1,落選
10区,岩崎 智久,41,男,日本改革の会(NRP),スタートアップ投資家。,イノベーション助成・電子政府・サイバー防衛,日本を世界の先端に導く！,13.6,落選
11区,佐伯 誠,53,男,自由民政党(JMP),総務省出身。地方創生を推進。,中小企業支援、インフラ投資、働き方改革,地域の元気が日本を変える,30.3,当選
11区,川崎 亜紀,38,女,進歩未来党(SFP),保育園運営。女性就労支援に注力。,子育て給付拡大、在宅医療支援、ジェンダー平等,家族を支えるあたたかい国へ,24.5,落選
11区,石田 剛,56,男,日本共和党(NPP),町工場経営の経験者。,国内雇用保護、移民制限、防衛力強化,日本産業を守り抜く！,16.1,落選
11区,宮地 亮介,44,男,日本改革の会(NRP),ICTコンサル。電子政府を推進。,e-Gov導入、イノベーション促進、サイバーセキュリティ強化,デジタルで政治を効率化,15.4,落選
11区,谷口 玲奈,40,女,立憲民主フォーラム(LDF),労働相談員。弱者救済に注力。,労働法制整備、最低賃金アップ、介護人材確保,働く人が報われる仕組みを,13.7,落選
12区,勝田 茂,52,男,自由民政党(JMP),地方銀行出身。,地方企業への融資支援、インフラ強化、雇用創出,足腰の強い地域経済を育む,28.6,当選
12区,佐々木 実咲,39,女,進歩未来党(SFP),介護福祉士。,介護報酬引き上げ、子育て環境整備、教育格差是正,全世代に手厚い福祉を！,22.9,落選
12区,安原 和也,56,男,日本共和党(NPP),元自衛官。防衛力を重視。,国防費拡充、憲法改正、移民規制,守れる国こそ繁栄する,15.0,落選
12区,吉岡 瑞希,41,女,立憲民主フォーラム(LDF),大学研究員。多様性を重視。,ジェンダー平等推進、LGBTQ保護、働き方改革,誰もが自己実現できる社会を,17.4,落選
12区,宮崎 大輔,45,男,日本改革の会(NRP),元文科省職員。教育改革派。,公教育のICT化、大学奨学金緩和、イノベ支援,学びと改革で未来を創る,16.1,落選
13区,北川 達郎,58,男,自由民政党(JMP),元経産省官僚。経済政策に精通。,法人税優遇、インフラ投資、エネルギー安全保障,経済成長で国力を高める,31.1,当選
13区,安藤 智美,40,女,進歩未来党(SFP),福祉NPO活動家。,子ども貧困対策、在宅医療拡充、労働法整備,人に寄り添う安心社会を,24.8,落選
13区,竹内 昭一,61,男,日本共和党(NPP),漁協出身。保守色が強い。,国内漁業保護、憲法9条改正、日米同盟維持,日本の伝統産業を支える,14.6,落選
13区,篠原 美里,37,女,立憲民主フォーラム(LDF),スクールカウンセラー。,教育格差是正、教員負担軽減、子どものメンタル支援,未来を担う子どもを守る,18.2,落選
13区,大島 亮,48,男,日本改革の会(NRP),ITベンチャー創業者。,電子政府導入、イノベーション投資、サイバー防衛,デジタル革新で日本を飛躍,11.3,落選
14区,高野 将,47,男,自由民政党(JMP),建設業連合に強いパイプ。,老朽インフラ改修、エネルギー安全保障、防災対策,安心・安全な基盤づくりを,28.8,当選
14区,池田 香織,44,女,進歩未来党(SFP),保健師経験。子育て貧困支援。,子ども医療費無料化、在宅医療推進、ジェンダー平等,子どもと女性を守る政治,25.2,落選
14区,森下 剛,53,男,日本共和党(NPP),地方製造業コンサル。,国内工場維持、移民制限、防衛力増強,日本のものづくりを守る,18.1,落選
14区,星野 美奈,38,女,緑の市民ネット(GCP),環境調査会社。,再生可能エネルギー普及、都市緑化、廃プラ削減,地球と共に生きる社会へ,15.7,落選
14区,坂口 慎二,35,男,立憲民主フォーラム(LDF),労組青年部出身。,若者雇用促進、最低賃金アップ、教育格差縮小,働く若者に夢を与える国に,12.2,落選
15区,内田 晃,54,男,自由民政党(JMP),地元商工会と協力。,商店街活性化、インフラ強化、地域観光振興,地方経済をさらに元気に！,23.9,落選
15区,中西 悠,39,女,進歩未来党(SFP),社会起業家。ジェンダー課題に精通。,女性起業支援、子育て給付、労働環境改革,女性が輝く国をめざす,27.1,当選
15区,長野 博,57,男,日本共和党(NPP),保守団体幹部。,憲法9条改正、防衛費増加、移民政策見直し,国を守り国民を守る,18.2,落選
15区,川島 啓,45,男,日本改革の会(NRP),学習塾経営者。教育改革派。,ICT教育導入、在宅学習支援、イノベ人材育成,教育こそが未来への投資,20.4,落選
15区,秋山 麗華,37,女,立憲民主フォーラム(LDF),人権弁護士。女性問題に注力。,DV防止策、性暴力被害者支援、ジェンダー平等,すべての人が安心できる社会へ,10.4,落選
16区,大島 里奈,51,女,自由民政党(JMP),地方自治改革の実績。,行政効率化、地域資源活用、防災強化,地域の力を最大化させる！,29.1,当選
16区,小野寺 直樹,46,男,進歩未来党(SFP),病院勤務。医療負担軽減を主張。,在宅医療拡大、子育て環境支援、医療費助成,安心を届ける優しい政治,25.8,落選
16区,浜口 佳代,58,女,立憲民主フォーラム(LDF),社会福祉士。高齢者ケアに注力。,介護人材の待遇改善、地域コミュニティ活性化、生活困窮支援,誰も一人にしない社会へ,17.3,落選
16区,伊崎 剛,43,男,日本共和党(NPP),元警察官。治安維持を重視。,防犯カメラ増設、移民規制強化、防衛費拡充,安全を最優先する政治を,14.2,落選
16区,四宮 勝人,39,男,日本改革の会(NRP),システムエンジニア。DX得意。,電子政府、サイバー防衛、働き方改革,IT革命で行政をスリム化,13.6,落選
17区,望月 華,48,女,自由民政党(JMP),行財政改革が得意。,予算の効率化、公務員制度見直し、地域振興,ムダをなくして暮らしを豊かに,20.7,落選
17区,渡辺 剛,50,男,進歩未来党(SFP),障害者支援団体。,公共施設のバリアフリー、障害者就労支援、医療費助成,誰もが生きやすい共生社会を,26.8,当選
17区,西川 仁,59,男,立憲民主フォーラム(LDF),元教師。子どもの権利を重視。,いじめ防止策、教員負担軽減、ICT教育,子どもの未来をまもる政治,18.1,落選
17区,山岡 正,44,男,日本共和党(NPP),自動車部品メーカー出身。,国内製造業の保護、移民規制、防衛費拡充,日本のモノづくりと安全を,17.0,落選
17区,川口 芽衣,38,女,日本改革の会(NRP),大学研究員。デジタル教育の実践者。,オンライン授業整備、ベンチャー支援、サイバー対策,学びと革新で未来を拓く,17.4,落選
18区,小林 俊樹,56,男,自由民政党(JMP),地方観光振興のアドバイザー。,観光インフラ整備、地域資源PR、子育て支援,地元の魅力を活かして発展,29.2,当選
18区,田所 真理,40,女,進歩未来党(SFP),子ども食堂運営。,子どもの貧困対策、在宅医療整備、介護人材サポート,困っている人を見捨てない社会,25.1,落選
18区,新谷 さゆり,46,女,立憲民主フォーラム(LDF),保育園経営。,保育士待遇改善、女性就労支援、労働法制整備,子育ても働き方も充実へ,16.4,落選
18区,大友 翔,35,男,緑の市民ネット(GCP),環境アナリスト。,再エネ普及、CO2削減、市民参加型エコ施策,環境から未来をデザインする,15.2,落選
18区,中井 誠,53,男,日本共和党(NPP),元自衛官。危機管理に強い。,防衛費増額、日米同盟重視、領土保全策,日本の独立と安全を死守,14.1,落選
19区,今井 渉,49,男,自由民政党(JMP),地元商社の元幹部。,貿易振興、地域資源活用、外国人材活用,国際競争力で地域も活性化,23.9,落選
19区,佐山 麗,41,女,進歩未来党(SFP),社会起業家。若者支援に注力。,教育格差縮小、SNSで政治参加推進、労働環境改善,若い力を政治に届ける！,26.2,当選
19区,若林 結衣,37,女,立憲民主フォーラム(LDF),女性労働支援センター出身。,非正規雇用改善、最低賃金アップ、在宅医療充実,働く女性を応援する政治へ,18.1,落選
19区,榊原 誠,45,男,日本改革の会(NRP),ベンチャー投資家。,イノベ起業支援、デジタル行政、サイバー防衛,変革を恐れず新しい日本へ,17.0,落選
19区,瀬戸口 真,58,男,日本共和党(NPP),消防士出身。防災対策を重視。,防災訓練拡充、防衛費増強、移民制限,安全こそが国民の権利,15.0,落選
20区,飯田 大樹,52,男,自由民政党(JMP),土木分野に携わり実績。,道路整備、防災インフラ強化、地域企業支援,インフラを基盤に地域繁栄,26.8,当選
20区,桜木 芙美,35,女,進歩未来党(SFP),女性起業家。,女性支援、子育て給付拡充、在宅医療サポート,多様性が活きる柔軟な社会,22.4,落選
20区,塩谷 弘,60,男,日本共和党(NPP),元農協組合長。,農業補助拡充、輸入規制、防衛力強化,日本の食と安全を死守,15.2,落選
20区,長瀬 秋子,48,女,立憲民主フォーラム(LDF),DV被害者支援活動。,DV防止策、介護人材確保、労働法整備,弱き立場に寄り添う政治を,14.8,落選
20区,森川 隼人,39,男,日本改革の会(NRP),元商社マン。デジタル貿易が得意。,貿易オンライン化、DX推進、ベンチャー育成,デジタルの力で飛躍する日本,20.8,落選
21区,佐々木 俊,56,男,自由民政党(JMP),地方議員から国政へ挑戦。,インフラ整備、エネルギー安保、介護人材拡充,地域の声を国政の力に！,28.1,当選
21区,鈴木 美咲,41,女,進歩未来党(SFP),子育て支援団体を運営。,子育て給付拡大、在宅医療推進、教育格差是正,子どもと家族をまもる政治,25.0,落選
21区,西村 啓太,59,男,日本共和党(NPP),自動車関連企業重役。,国内工場保護、移民制限、防衛強化,ものづくりと国土を守る,17.3,落選
21区,日野 里穂,36,女,立憲民主フォーラム(LDF),NPO職員。生活困窮者支援。,労働法整備、最低賃金アップ、ジェンダー平等,働く人が正当に報われる社会,15.1,落選
21区,加賀谷 翔,44,男,日本改革の会(NRP),IT分野の改革推進者。,e-Gov推進、サイバーセキュリティ、イノベ人材育成,改革とテクノロジーで前進,14.5,落選
22区,柴崎 真一,47,男,自由民政党(JMP),運輸業界との繋がり。,交通インフラ充実、エネルギー安保、地域資源の活用,強い物流で地域を豊かに,29.0,当選
22区,大場 千秋,46,女,進歩未来党(SFP),看護師出身。医療と福祉に精通。,医療費助成拡充、子育て支援、介護報酬改善,人を大切にする政治を,25.2,落選
22区,松井 隆,60,男,日本共和党(NPP),保守団体幹部。国防至上主義。,憲法9条改正、防衛費拡充、移民規制,安全保障を揺るぎなく,15.8,落選
22区,久保田 理恵,39,女,立憲民主フォーラム(LDF),母子家庭支援のNPO代表。,子育て格差解消、在宅医療支援、ジェンダー平等,家族の笑顔を最優先に,17.4,落選
22区,向井 新,42,男,緑の市民ネット(GCP),環境コンサルタント。,再エネ促進、都市緑化、廃プラ削減,持続可能な未来を次世代へ,12.6,落選
23区,古川 真央,48,女,自由民政党(JMP),商社勤務から地方議会へ。,法人税優遇、インフラ開発、エネルギー安保,経済の成長エンジンを回す,30.1,当選
23区,若月 誠,36,男,進歩未来党(SFP),子ども食堂運営。,子どもの貧困対策、教育格差是正、働き方改革,子ども第一の社会に変える,26.8,落選
23区,堀越 昌也,55,男,日本共和党(NPP),保守系。国防に積極姿勢。,憲法改正、防衛費増大、移民抑制,誇りある国を築く,17.7,落選
23区,野口 久美,44,女,立憲民主フォーラム(LDF),労働組合出身。,最低賃金引き上げ、介護人材確保、ジェンダー平等,働く人を大切にする政治へ,15.2,落選
23区,寺田 諒,47,男,日本改革の会(NRP),ITベンチャー創業者。,電子政府、スタートアップ支援、サイバー防衛,イノベで日本を牽引する,10.2,落選
24区,小久保 勝,54,男,自由民政党(JMP),経済団体顧問。,中小企業融資強化、インフラ投資、地域観光支援,日本の企業と地域を底上げ,27.7,当選
24区,井上 さやか,38,女,進歩未来党(SFP),ジャーナリスト。女性問題を取材。,ジェンダー平等、女性起業支援、育児給付拡大,女性と社会をつなぐ架け橋,23.1,落選
24区,森田 俊彦,59,男,日本共和党(NPP),建設会社社長。,公共事業拡大、防衛費増強、移民制限,日本の基盤を守り抜く！,15.2,落選
24区,田畑 麻衣,41,女,立憲民主フォーラム(LDF),弁護士。生活困窮者支援。,生活保護改革、介護人材強化、ジェンダー平等,みんなが助け合える社会へ,18.0,落選
24区,伊藤 健,44,男,日本改革の会(NRP),元経産省官僚。規制緩和を推進。,新ビジネス支援策、行政DX、イノベ投資,規制を解き放ち日本を変える,16.0,落選
25区,狩野 翔,45,男,自由民政党(JMP),地方銀行出身。地域金融を重視。,中小企業融資拡充、インフラ補修、防災施策,地域に根差した力強い経済,25.1,落選
25区,川口 智美,37,女,進歩未来党(SFP),保育士経験。貧困家庭支援。,子育て給付拡大、教育格差緩和、在宅医療推進,未来を担う子どもを最優先,27.0,当選
25区,土井 武,59,男,日本共和党(NPP),メーカー管理職出身。,国内雇用の保護、防衛力拡充、移民制限,日本の働き場を守る!,17.4,落選
25区,相沢 麗,42,女,立憲民主フォーラム(LDF),社会福祉士。介護ケアに注力。,介護職支援、労働法制強化、ジェンダー平等,優しい社会をみんなで築く,15.3,落選
25区,大村 俊一,46,男,日本改革の会(NRP),ITベンチャー経営。,電子政府化、イノベーション支援、労働環境改革,新しい技術で暮らしを変える,15.2,落選
26区,吉沢 亮,51,男,自由民政党(JMP),観光庁出身。観光促進を重視。,観光産業支援、インフラ投資、エネルギー確保,観光が日本を元気にする,29.5,当選
26区,西村 樹,40,男,進歩未来党(SFP),社会起業家。教育支援活動家。,学習支援、子ども食堂拡充、働き方改革,子どもにとっての明るい社会を,24.9,落選
26区,川辺 祐介,59,男,日本共和党(NPP),農協組合出身。,農家補助金拡充、憲法改正、防衛力強化,日本の農業と安全を強固に,15.7,落選
26区,相沢 真理,35,女,立憲民主フォーラム(LDF),若手弁護士。ジェンダー問題に注力。,女性の権利拡大、DV防止、介護人材確保,女性が安心して暮らせる国へ,16.2,落選
26区,大木 颯太,45,男,日本改革の会(NRP),IT企業CTO。人材育成を訴える。,プログラミング教育、電子政府、安全保障DX,技術と人材で日本を底上げ,13.7,落選
27区,亀山 公平,47,男,自由民政党(JMP),土木設計会社経営。,老朽インフラ補修、防災事業、地方活性化,安全な社会基盤で安心を,30.8,当選
27区,井手 若菜,36,女,進歩未来党(SFP),女性支援のNPO代表。,DV被害対策、子育て環境整備、ジェンダー平等,すべての女性を守りたい,23.0,落選
27区,土屋 重徳,60,男,日本共和党(NPP),元官僚。タカ派路線。,憲法9条改正、防衛予算増、移民制限,国防力が独立の証だ,16.6,落選
27区,大森 純,41,男,立憲民主フォーラム(LDF),労働問題研究者。,非正規雇用改善、最低賃金大幅UP、在宅医療推進,誰もが安心して暮らせる国に,15.2,落選
27区,尾崎 涼子,43,女,緑の市民ネット(GCP),気候変動アクティビスト。,脱炭素政策、市民参加型再エネ、自然共生型社会,地球を守る私たちの責任,14.4,落選
28区,真鍋 達也,54,男,自由民政党(JMP),地元財界と連携。,減税政策、企業誘致、エネルギー安全保障,経済が動けば暮らしが潤う,30.2,当選
28区,室井 史子,38,女,進歩未来党(SFP),カウンセラー。教育格差に尽力。,少人数学級、育児給付拡大、在宅医療推進,子どもからお年寄りまで支える,25.6,落選
28区,徳永 剛,52,男,緑の市民ネット(GCP),有機農業普及に携わる。,有機農業支援、食品ロス削減、再エネ発電促進,自然と共に歩む農業を,14.5,落選
28区,木下 孝弘,44,男,立憲民主フォーラム(LDF),税理士。公正な税制改革を訴える。,所得再分配強化、最低賃金アップ、働き方改革,格差是正で誰もが豊かに,16.9,落選
28区,関谷 真紀,46,女,日本共和党(NPP),元地方公務員。移民問題に警鐘。,外国人労働規制、憲法改正、防衛強化,秩序を守り安心社会を実現,12.8,落選
29区,河野 真也,49,男,自由民政党(JMP),元経産省官僚。エネルギー政策得意。,原発再稼働の安全策、エネルギー自給率向上、法人税優遇,強いエネルギー基盤で繁栄,28.3,当選
29区,中條 まどか,35,女,進歩未来党(SFP),地域コミュニティNPO。,子育て拠点整備、教育格差解消、ジェンダー平等,暮らしの声を国政に届ける,24.7,落選
29区,宇野 康弘,57,男,日本共和党(NPP),自動車メーカー重役出身。,国内工場保護、憲法9条改正、日米同盟堅持,日本の技術と国土を守る,17.2,落選
29区,福岡 沙織,43,女,立憲民主フォーラム(LDF),社会福祉士。女性就労支援。,非正規改善、介護充実、ジェンダー平等,女性が輝く環境を整える,16.0,落選
29区,松永 翔太,40,男,日本改革の会(NRP),Webサービス創業者。,電子政府推進、ベンチャー支援、サイバー防衛,ITと起業力で日本を躍進,13.8,落選
30区,牛島 大輔,51,男,自由民政党(JMP),都市再開発の専門家。,老朽住宅再開発、インフラメンテ、防災力強化,街の未来を築き、国を豊かに,29.7,当選
30区,春日 玲奈,37,女,進歩未来党(SFP),女性起業家。ジェンダー課題に敏感。,女性起業支援、子育て給付、教育格差是正,女性の力を社会の力に！,25.2,落選
30区,三好 剛,55,男,緑の市民ネット(GCP),自然エネルギー研究者。,風力発電促進、CO2削減、市民参加型エコ事業,クリーンエネルギーで未来へ,15.6,落選
30区,石原 しおり,48,女,立憲民主フォーラム(LDF),スクールカウンセラー。,学校カウンセリング強化、働き方改革、介護人材確保,家族と教育にあたたかい社会を,15.0,落選
30区,生駒 巧,42,男,日本共和党(NPP),元外交官。保守的外交路線を強調。,領土問題強化、日米同盟維持、移民制限,毅然たる外交で国益を守る,14.5,落選
