city,topic,中立,反対,賛成,選挙区
八王子市,エネルギー安全保障の確保,4.0,20.0,8.0,21区
八王子市,エネルギー安全保障の確保,4.0,20.0,8.0,24区
八王子市,日米同盟の廃止,13.0,16.0,3.0,21区
八王子市,日米同盟の廃止,13.0,16.0,3.0,24区
八王子市,教育格差の是正,10.0,7.0,15.0,21区
八王子市,教育格差の是正,10.0,7.0,15.0,24区
八王子市,地域資源の活用,6.0,12.0,14.0,21区
八王子市,地域資源の活用,6.0,12.0,14.0,24区
八王子市,働き方の多様化,0.0,15.0,17.0,21区
八王子市,働き方の多様化,0.0,15.0,17.0,24区
八王子市,労働法制の整備,4.0,6.0,22.0,21区
八王子市,労働法制の整備,4.0,6.0,22.0,24区
八王子市,在宅医療の推進,9.0,0.0,23.0,21区
八王子市,在宅医療の推進,9.0,0.0,23.0,24区
八王子市,介護人材の確保,20.0,6.0,6.0,21区
八王子市,介護人材の確保,20.0,6.0,6.0,24区
八王子市,医療費の持続可能性確保,4.0,21.0,7.0,21区
八王子市,医療費の持続可能性確保,4.0,21.0,7.0,24区
八王子市,サイバーセキュリティの強化,25.0,1.0,6.0,21区
八王子市,サイバーセキュリティの強化,25.0,1.0,6.0,24区
八王子市,電子政府（e-Government）の推進,8.0,20.0,4.0,21区
八王子市,電子政府（e-Government）の推進,8.0,20.0,4.0,24区
北区,外国人労働者の受け入れ拡大,1.0,7.0,15.0,12区
北区,子育て支援の充実,7.0,6.0,10.0,12区
北区,インフラ投資の強化,0.0,13.0,10.0,12区
北区,イノベーションの促進,1.0,9.0,13.0,12区
北区,防衛力の強化,11.0,8.0,4.0,12区
北区,憲法９条の改正,0.0,10.0,13.0,12区
北区,再生可能エネルギーの導入促進,6.0,2.0,15.0,12区
北区,エネルギー安全保障の確保,2.0,18.0,3.0,12区
北区,日米同盟の廃止,7.0,15.0,1.0,12区
北区,教育格差の是正,11.0,3.0,9.0,12区
北区,地域資源の活用,2.0,7.0,14.0,12区
北区,働き方の多様化,0.0,11.0,12.0,12区
北区,労働法制の整備,4.0,3.0,16.0,12区
北区,在宅医療の推進,6.0,2.0,15.0,12区
北区,介護人材の確保,11.0,6.0,6.0,12区
北区,医療費の持続可能性確保,4.0,11.0,8.0,12区
北区,サイバーセキュリティの強化,13.0,1.0,9.0,12区
北区,電子政府（e-Government）の推進,7.0,15.0,1.0,12区
千代田区,外国人労働者の受け入れ拡大,0.0,13.0,8.0,1区
千代田区,子育て支援の充実,4.0,2.0,15.0,1区
千代田区,インフラ投資の強化,1.0,13.0,7.0,1区
千代田区,イノベーションの促進,0.0,5.0,16.0,1区
千代田区,防衛力の強化,14.0,3.0,4.0,1区
千代田区,憲法９条の改正,3.0,15.0,3.0,1区
千代田区,再生可能エネルギーの導入促進,3.0,4.0,14.0,1区
千代田区,エネルギー安全保障の確保,4.0,16.0,1.0,1区
千代田区,日米同盟の廃止,7.0,13.0,1.0,1区
千代田区,教育格差の是正,7.0,7.0,7.0,1区
千代田区,地域資源の活用,2.0,6.0,13.0,1区
千代田区,働き方の多様化,1.0,11.0,9.0,1区
千代田区,労働法制の整備,6.0,2.0,13.0,1区
千代田区,在宅医療の推進,5.0,0.0,16.0,1区
千代田区,介護人材の確保,12.0,7.0,2.0,1区
千代田区,医療費の持続可能性確保,3.0,12.0,6.0,1区
千代田区,サイバーセキュリティの強化,14.0,0.0,7.0,1区
千代田区,電子政府（e-Government）の推進,7.0,11.0,3.0,1区
台東区,外国人労働者の受け入れ拡大,2.0,10.0,13.0,2区
台東区,子育て支援の充実,4.0,6.0,15.0,2区
台東区,インフラ投資の強化,0.0,16.0,9.0,2区
台東区,イノベーションの促進,1.0,10.0,14.0,2区
台東区,防衛力の強化,13.0,6.0,6.0,2区
台東区,憲法９条の改正,0.0,17.0,8.0,2区
台東区,再生可能エネルギーの導入促進,1.0,5.0,19.0,2区
台東区,エネルギー安全保障の確保,2.0,19.0,4.0,2区
台東区,日米同盟の廃止,17.0,7.0,1.0,2区
台東区,教育格差の是正,12.0,2.0,11.0,2区
台東区,地域資源の活用,2.0,10.0,13.0,2区
台東区,働き方の多様化,2.0,10.0,13.0,2区
台東区,労働法制の整備,8.0,2.0,15.0,2区
台東区,在宅医療の推進,7.0,0.0,18.0,2区
台東区,介護人材の確保,15.0,5.0,5.0,2区
台東区,医療費の持続可能性確保,3.0,9.0,13.0,2区
台東区,サイバーセキュリティの強化,15.0,2.0,8.0,2区
台東区,電子政府（e-Government）の推進,13.0,11.0,1.0,2区
品川区,外国人労働者の受け入れ拡大,1.0,7.0,16.0,3区
品川区,子育て支援の充実,9.0,2.0,13.0,3区
品川区,インフラ投資の強化,1.0,12.0,11.0,3区
品川区,イノベーションの促進,0.0,7.0,17.0,3区
品川区,防衛力の強化,10.0,8.0,6.0,3区
品川区,憲法９条の改正,1.0,12.0,11.0,3区
品川区,再生可能エネルギーの導入促進,2.0,3.0,19.0,3区
品川区,エネルギー安全保障の確保,5.0,14.0,5.0,3区
品川区,日米同盟の廃止,11.0,6.0,7.0,3区
品川区,教育格差の是正,10.0,5.0,9.0,3区
品川区,地域資源の活用,2.0,5.0,17.0,3区
品川区,働き方の多様化,0.0,12.0,12.0,3区
品川区,労働法制の整備,6.0,4.0,14.0,3区
品川区,在宅医療の推進,7.0,0.0,17.0,3区
品川区,介護人材の確保,11.0,10.0,3.0,3区
品川区,医療費の持続可能性確保,2.0,16.0,6.0,3区
品川区,サイバーセキュリティの強化,15.0,3.0,6.0,3区
品川区,電子政府（e-Government）の推進,8.0,15.0,1.0,3区
国分寺市,外国人労働者の受け入れ拡大,0.0,8.0,5.0,19区
国分寺市,子育て支援の充実,3.0,0.0,10.0,19区
国分寺市,インフラ投資の強化,0.0,7.0,6.0,19区
国分寺市,イノベーションの促進,1.0,5.0,7.0,19区
国分寺市,防衛力の強化,8.0,2.0,3.0,19区
国分寺市,憲法９条の改正,0.0,8.0,5.0,19区
国分寺市,再生可能エネルギーの導入促進,3.0,1.0,9.0,19区
国分寺市,エネルギー安全保障の確保,4.0,9.0,0.0,19区
国分寺市,日米同盟の廃止,3.0,10.0,0.0,19区
国分寺市,教育格差の是正,3.0,1.0,9.0,19区
国分寺市,地域資源の活用,0.0,3.0,10.0,19区
国分寺市,働き方の多様化,0.0,4.0,9.0,19区
国分寺市,労働法制の整備,4.0,0.0,9.0,19区
国分寺市,在宅医療の推進,4.0,1.0,8.0,19区
国分寺市,介護人材の確保,8.0,1.0,4.0,19区
国分寺市,医療費の持続可能性確保,1.0,9.0,3.0,19区
国分寺市,サイバーセキュリティの強化,5.0,3.0,5.0,19区
国分寺市,電子政府（e-Government）の推進,1.0,10.0,2.0,19区
国立市,外国人労働者の受け入れ拡大,0.0,3.0,2.0,19区
国立市,子育て支援の充実,1.0,1.0,3.0,19区
国立市,インフラ投資の強化,0.0,1.0,4.0,19区
国立市,イノベーションの促進,0.0,1.0,4.0,19区
国立市,防衛力の強化,3.0,2.0,0.0,19区
国立市,憲法９条の改正,0.0,4.0,1.0,19区
国立市,再生可能エネルギーの導入促進,1.0,2.0,2.0,19区
国立市,エネルギー安全保障の確保,0.0,5.0,0.0,19区
国立市,日米同盟の廃止,4.0,1.0,0.0,19区
国立市,教育格差の是正,2.0,0.0,3.0,19区
国立市,地域資源の活用,1.0,0.0,4.0,19区
国立市,働き方の多様化,0.0,1.0,4.0,19区
国立市,労働法制の整備,1.0,1.0,3.0,19区
国立市,在宅医療の推進,2.0,0.0,3.0,19区
国立市,介護人材の確保,4.0,1.0,0.0,19区
国立市,医療費の持続可能性確保,1.0,4.0,0.0,19区
国立市,サイバーセキュリティの強化,4.0,0.0,1.0,19区
国立市,電子政府（e-Government）の推進,3.0,2.0,0.0,19区
墨田区,外国人労働者の受け入れ拡大,1.0,8.0,15.0,14区
墨田区,子育て支援の充実,5.0,2.0,17.0,14区
墨田区,インフラ投資の強化,1.0,10.0,13.0,14区
墨田区,イノベーションの促進,1.0,10.0,13.0,14区
墨田区,防衛力の強化,14.0,4.0,6.0,14区
墨田区,憲法９条の改正,2.0,14.0,8.0,14区
墨田区,再生可能エネルギーの導入促進,0.0,4.0,20.0,14区
墨田区,エネルギー安全保障の確保,9.0,11.0,4.0,14区
墨田区,日米同盟の廃止,13.0,8.0,3.0,14区
墨田区,教育格差の是正,10.0,4.0,10.0,14区
墨田区,地域資源の活用,2.0,6.0,16.0,14区
墨田区,働き方の多様化,0.0,11.0,13.0,14区
墨田区,労働法制の整備,5.0,1.0,18.0,14区
墨田区,在宅医療の推進,6.0,2.0,16.0,14区
墨田区,介護人材の確保,17.0,2.0,5.0,14区
墨田区,医療費の持続可能性確保,1.0,17.0,6.0,14区
墨田区,サイバーセキュリティの強化,16.0,1.0,7.0,14区
墨田区,電子政府（e-Government）の推進,8.0,16.0,0.0,14区
多摩市,外国人労働者の受け入れ拡大,0.0,6.0,9.0,30区
多摩市,子育て支援の充実,7.0,1.0,7.0,30区
多摩市,インフラ投資の強化,0.0,11.0,4.0,30区
多摩市,イノベーションの促進,0.0,7.0,8.0,30区
多摩市,防衛力の強化,9.0,3.0,3.0,30区
多摩市,憲法９条の改正,0.0,8.0,7.0,30区
多摩市,再生可能エネルギーの導入促進,0.0,0.0,15.0,30区
多摩市,エネルギー安全保障の確保,2.0,12.0,1.0,30区
多摩市,日米同盟の廃止,8.0,6.0,1.0,30区
多摩市,教育格差の是正,3.0,6.0,6.0,30区
多摩市,地域資源の活用,3.0,7.0,5.0,30区
多摩市,働き方の多様化,1.0,4.0,10.0,30区
多摩市,労働法制の整備,5.0,2.0,8.0,30区
多摩市,在宅医療の推進,6.0,0.0,9.0,30区
多摩市,介護人材の確保,9.0,2.0,4.0,30区
多摩市,医療費の持続可能性確保,2.0,9.0,4.0,30区
多摩市,サイバーセキュリティの強化,10.0,1.0,4.0,30区
多摩市,電子政府（e-Government）の推進,3.0,10.0,2.0,30区
大島町,外国人労働者の受け入れ拡大,0.0,1.0,1.0,3区
大島町,子育て支援の充実,0.0,0.0,2.0,3区
大島町,インフラ投資の強化,0.0,2.0,0.0,3区
大島町,イノベーションの促進,0.0,2.0,0.0,3区
大島町,防衛力の強化,1.0,1.0,0.0,3区
大島町,憲法９条の改正,0.0,1.0,1.0,3区
大島町,再生可能エネルギーの導入促進,1.0,0.0,1.0,3区
大島町,エネルギー安全保障の確保,0.0,2.0,0.0,3区
大島町,日米同盟の廃止,0.0,2.0,0.0,3区
大島町,教育格差の是正,0.0,1.0,1.0,3区
大島町,地域資源の活用,0.0,1.0,1.0,3区
大島町,働き方の多様化,0.0,1.0,1.0,3区
大島町,労働法制の整備,0.0,0.0,2.0,3区
大島町,在宅医療の推進,1.0,0.0,1.0,3区
大島町,介護人材の確保,1.0,0.0,1.0,3区
大島町,医療費の持続可能性確保,0.0,2.0,0.0,3区
大島町,サイバーセキュリティの強化,1.0,0.0,1.0,3区
大島町,電子政府（e-Government）の推進,1.0,0.0,1.0,3区
大田区,外国人労働者の受け入れ拡大,3.0,17.0,19.0,4区
大田区,外国人労働者の受け入れ拡大,3.0,17.0,19.0,26区
大田区,子育て支援の充実,11.0,4.0,24.0,4区
大田区,子育て支援の充実,11.0,4.0,24.0,26区
大田区,インフラ投資の強化,2.0,18.0,19.0,4区
大田区,インフラ投資の強化,2.0,18.0,19.0,26区
大田区,イノベーションの促進,4.0,9.0,26.0,4区
大田区,イノベーションの促進,4.0,9.0,26.0,26区
大田区,防衛力の強化,21.0,9.0,9.0,4区
大田区,防衛力の強化,21.0,9.0,9.0,26区
大田区,憲法９条の改正,2.0,24.0,13.0,4区
大田区,憲法９条の改正,2.0,24.0,13.0,26区
大田区,再生可能エネルギーの導入促進,9.0,6.0,24.0,4区
大田区,再生可能エネルギーの導入促進,9.0,6.0,24.0,26区
大田区,エネルギー安全保障の確保,4.0,28.0,7.0,4区
大田区,エネルギー安全保障の確保,4.0,28.0,7.0,26区
大田区,日米同盟の廃止,16.0,20.0,3.0,4区
大田区,日米同盟の廃止,16.0,20.0,3.0,26区
大田区,教育格差の是正,16.0,10.0,13.0,4区
大田区,教育格差の是正,16.0,10.0,13.0,26区
大田区,地域資源の活用,3.0,16.0,20.0,4区
大田区,地域資源の活用,3.0,16.0,20.0,26区
大田区,働き方の多様化,1.0,22.0,16.0,4区
大田区,働き方の多様化,1.0,22.0,16.0,26区
大田区,労働法制の整備,13.0,5.0,21.0,4区
大田区,労働法制の整備,13.0,5.0,21.0,26区
大田区,在宅医療の推進,9.0,1.0,29.0,4区
大田区,在宅医療の推進,9.0,1.0,29.0,26区
大田区,介護人材の確保,22.0,11.0,6.0,4区
大田区,介護人材の確保,22.0,11.0,6.0,26区
大田区,医療費の持続可能性確保,5.0,19.0,15.0,4区
大田区,医療費の持続可能性確保,5.0,19.0,15.0,26区
大田区,サイバーセキュリティの強化,25.0,2.0,12.0,4区
大田区,サイバーセキュリティの強化,25.0,2.0,12.0,26区
大田区,電子政府（e-Government）の推進,8.0,24.0,7.0,4区
大田区,電子政府（e-Government）の推進,8.0,24.0,7.0,26区
小平市,外国人労働者の受け入れ拡大,1.0,5.0,11.0,19区
小平市,子育て支援の充実,6.0,2.0,9.0,19区
小平市,インフラ投資の強化,0.0,13.0,4.0,19区
小平市,イノベーションの促進,2.0,2.0,13.0,19区
小平市,防衛力の強化,12.0,3.0,2.0,19区
小平市,憲法９条の改正,0.0,12.0,5.0,19区
小平市,再生可能エネルギーの導入促進,0.0,4.0,13.0,19区
小平市,エネルギー安全保障の確保,2.0,13.0,2.0,19区
小平市,日米同盟の廃止,3.0,13.0,1.0,19区
小平市,教育格差の是正,5.0,4.0,8.0,19区
小平市,地域資源の活用,2.0,4.0,11.0,19区
小平市,働き方の多様化,1.0,7.0,9.0,19区
小平市,労働法制の整備,3.0,4.0,10.0,19区
小平市,在宅医療の推進,6.0,0.0,11.0,19区
小平市,介護人材の確保,7.0,5.0,5.0,19区
小平市,医療費の持続可能性確保,4.0,9.0,4.0,19区
小平市,サイバーセキュリティの強化,8.0,2.0,7.0,19区
小平市,電子政府（e-Government）の推進,8.0,8.0,1.0,19区
小笠原村,外国人労働者の受け入れ拡大,0.0,1.0,0.0,3区
小笠原村,子育て支援の充実,0.0,0.0,1.0,3区
小笠原村,インフラ投資の強化,0.0,1.0,0.0,3区
小笠原村,イノベーションの促進,0.0,0.0,1.0,3区
小笠原村,防衛力の強化,1.0,0.0,0.0,3区
小笠原村,憲法９条の改正,0.0,0.0,1.0,3区
小笠原村,再生可能エネルギーの導入促進,0.0,1.0,0.0,3区
小笠原村,エネルギー安全保障の確保,0.0,1.0,0.0,3区
小笠原村,日米同盟の廃止,0.0,0.0,1.0,3区
小笠原村,教育格差の是正,1.0,0.0,0.0,3区
小笠原村,地域資源の活用,0.0,0.0,1.0,3区
小笠原村,働き方の多様化,0.0,1.0,0.0,3区
小笠原村,労働法制の整備,0.0,0.0,1.0,3区
小笠原村,在宅医療の推進,0.0,0.0,1.0,3区
小笠原村,介護人材の確保,0.0,1.0,0.0,3区
小笠原村,医療費の持続可能性確保,0.0,0.0,1.0,3区
小笠原村,サイバーセキュリティの強化,1.0,0.0,0.0,3区
小笠原村,電子政府（e-Government）の推進,0.0,1.0,0.0,3区
小金井市,外国人労働者の受け入れ拡大,0.0,5.0,2.0,18区
小金井市,子育て支援の充実,3.0,1.0,3.0,18区
小金井市,インフラ投資の強化,0.0,4.0,3.0,18区
小金井市,イノベーションの促進,0.0,2.0,5.0,18区
小金井市,防衛力の強化,2.0,1.0,4.0,18区
小金井市,憲法９条の改正,0.0,5.0,2.0,18区
小金井市,再生可能エネルギーの導入促進,1.0,1.0,5.0,18区
小金井市,エネルギー安全保障の確保,2.0,5.0,0.0,18区
小金井市,日米同盟の廃止,2.0,3.0,2.0,18区
小金井市,教育格差の是正,3.0,0.0,4.0,18区
小金井市,地域資源の活用,2.0,3.0,2.0,18区
小金井市,働き方の多様化,1.0,4.0,2.0,18区
小金井市,労働法制の整備,3.0,0.0,4.0,18区
小金井市,在宅医療の推進,1.0,0.0,6.0,18区
小金井市,介護人材の確保,6.0,1.0,0.0,18区
小金井市,医療費の持続可能性確保,2.0,4.0,1.0,18区
小金井市,サイバーセキュリティの強化,5.0,0.0,2.0,18区
小金井市,電子政府（e-Government）の推進,2.0,5.0,0.0,18区
府中市,外国人労働者の受け入れ拡大,3.0,15.0,21.0,30区
府中市,子育て支援の充実,12.0,6.0,21.0,30区
府中市,インフラ投資の強化,2.0,21.0,16.0,30区
府中市,イノベーションの促進,0.0,17.0,22.0,30区
府中市,防衛力の強化,16.0,11.0,12.0,30区
府中市,憲法９条の改正,2.0,20.0,17.0,30区
府中市,再生可能エネルギーの導入促進,5.0,2.0,32.0,30区
府中市,エネルギー安全保障の確保,2.0,28.0,9.0,30区
府中市,日米同盟の廃止,6.0,32.0,1.0,30区
府中市,教育格差の是正,10.0,11.0,18.0,30区
府中市,地域資源の活用,2.0,18.0,19.0,30区
府中市,働き方の多様化,3.0,15.0,21.0,30区
府中市,労働法制の整備,9.0,2.0,28.0,30区
府中市,在宅医療の推進,7.0,1.0,31.0,30区
府中市,介護人材の確保,24.0,9.0,6.0,30区
府中市,医療費の持続可能性確保,5.0,21.0,13.0,30区
府中市,サイバーセキュリティの強化,22.0,3.0,14.0,30区
府中市,電子政府（e-Government）の推進,7.0,30.0,2.0,30区
文京区,外国人労働者の受け入れ拡大,0.0,8.0,5.0,10区
文京区,子育て支援の充実,0.0,4.0,9.0,10区
文京区,インフラ投資の強化,0.0,6.0,7.0,10区
文京区,イノベーションの促進,1.0,3.0,9.0,10区
文京区,防衛力の強化,7.0,4.0,2.0,10区
文京区,憲法９条の改正,2.0,7.0,4.0,10区
文京区,再生可能エネルギーの導入促進,2.0,3.0,8.0,10区
文京区,エネルギー安全保障の確保,0.0,11.0,2.0,10区
文京区,日米同盟の廃止,6.0,6.0,1.0,10区
文京区,教育格差の是正,8.0,3.0,2.0,10区
文京区,地域資源の活用,1.0,5.0,7.0,10区
文京区,働き方の多様化,1.0,6.0,6.0,10区
文京区,労働法制の整備,1.0,3.0,9.0,10区
